#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
b_abahan;Abahan;Abahan;Abahan;;Abahan;;;;;;;;;x
b_alagasz_6;Alagasz;Alagasz;Alagasz;;Alagasz;;;;;;;;;x
b_alagasz_6_adj;Alagaszian;;alagaszer;;;;;;;;;;;x
b_alath;Alath;Alath;Alath;;Alath;;;;;;;;;x
b_alath_adj;Alathian;;alather;;;;;;;;;;;x
b_alaviv;Alaviv;Alaviv;Alaviv;;Alaviv;;;;;;;;;x
b_alaviv_adj;Alavivian;;alaviver;;;;;;;;;;;x
b_alcalha;Alcalha;Alcalha;Alcalha;;Alcalha;;;;;;;;;x
b_alcalha_adj;Alcalhan;;alcalher;;;;;;;;;;;x
b_alcarro;Alcarro;Alcarro;Alcarro;;Alcarro;;;;;;;;;x
b_alcarro_adj;Alcarrian;;alcarrer;;;;;;;;;;;x
b_alcarro_2;Alcarro;Alcarro;Alcarro;;Alcarro;;;;;;;;;x
b_alcarro_2_adj;Alcarrian;;alcarrer;;;;;;;;;;;x
b_alcarro_3;Alcarro;Alcarro;Alcarro;;Alcarro;;;;;;;;;x
b_alcarro_3_adj;Alcarrian;;alcarrer;;;;;;;;;;;x
b_alcarro_4;Alcarro;Alcarro;Alcarro;;Alcarro;;;;;;;;;x
b_alcarro_4_adj;Alcarrian;;alcarrer;;;;;;;;;;;x
b_alereggio;Alereggio;Alereggio;Alereggio;;Alereggio;;;;;;;;;x
b_alereggio_adj;Alereggian;;aleregger;;;;;;;;;;;x
b_alereggio_2;Alereggio;Alereggio;Alereggio;;Alereggio;;;;;;;;;x
b_alereggio_2_adj;Alereggian;;aleregger;;;;;;;;;;;x
b_alereggio_3;Alereggio;Alereggio;Alereggio;;Alereggio;;;;;;;;;x
b_alereggio_3_adj;Alereggian;;aleregger;;;;;;;;;;;x
b_alereggio_4;Alereggio;Alereggio;Alereggio;;Alereggio;;;;;;;;;x
b_alereggio_4_adj;Alereggian;;aleregger;;;;;;;;;;;x
b_aliman;Aliman;Aliman;Aliman;;Aliman;;;;;;;;;x
b_aliman_adj;Alimanian;;alimaner;;;;;;;;;;;x
b_aljaaq;Aljaaq;Aljaaq;Aljaaq;;Aljaaq;;;;;;;;;x
b_aljaaq_adj;Aljaaqian;;aljaaqer;;;;;;;;;;;x
b_allaciras;Allaciras;Allaciras;Allaciras;;Allaciras;;;;;;;;;x
b_allaciras_adj;Allacirasian;;allaciraser;;;;;;;;;;;x
b_alpanuzum;Alpanuzum;Alpanuzum;Alpanuzum;;Alpanuzum;;;;;;;;;x
b_alpanuzum_adj;Alpanuzumian;;alpanuzumer;;;;;;;;;;;x
b_alpardir;Alpardir;Alpardir;Alpardir;;Alpardir;;;;;;;;;x
b_alpardir_adj;Alpardirian;;alpardirer;;;;;;;;;;;x
b_altymos;Altymos;Altymos;Altymos;;Altymos;;;;;;;;;x
b_altymos_adj;Altymosian;;altymoser;;;;;;;;;;;x
b_altymos_2;Altymos;Altymos;Altymos;;Altymos;;;;;;;;;x
b_altymos_2_adj;Altymosian;;altymoser;;;;;;;;;;;x
b_altymos_3;Altymos;Altymos;Altymos;;Altymos;;;;;;;;;x
b_altymos_3_adj;Altymosian;;altymoser;;;;;;;;;;;x
b_altymos_4;Altymos;Altymos;Altymos;;Altymos;;;;;;;;;x
b_altymos_4_adj;Altymosian;;altymoser;;;;;;;;;;;x
b_altymos_5;Altymos;Altymos;Altymos;;Altymos;;;;;;;;;x
b_altymos_5_adj;Altymosian;;altymoser;;;;;;;;;;;x
b_altymos_6;Altymos;Altymos;Altymos;;Altymos;;;;;;;;;x
b_altymos_6_adj;Altymosian;;altymoser;;;;;;;;;;;x
b_alzigon;Alzigon;Alzigon;Alzigon;;Alzigon;;;;;;;;;x
b_alzigon_adj;Alzigonian;;alzigoner;;;;;;;;;;;x
b_amadere;Amadere;Amadere;Amadere;;Amadere;;;;;;;;;x
b_amadere_adj;Amaderean;;amaderer;;;;;;;;;;;x
b_amago;Amago;Amago;Amago;;Amago;;;;;;;;;x
b_amago_adj;Amagian;;amager;;;;;;;;;;;x
b_amago_2;Amago;Amago;Amago;;Amago;;;;;;;;;x
b_amago_2_adj;Amagian;;amager;;;;;;;;;;;x
b_amago_3;Amago;Amago;Amago;;Amago;;;;;;;;;x
b_amago_3_adj;Amagian;;amager;;;;;;;;;;;x
b_amago_4;Amago;Amago;Amago;;Amago;;;;;;;;;x
b_amago_4_adj;Amagian;;amager;;;;;;;;;;;x
b_amago_5;Amago;Amago;Amago;;Amago;;;;;;;;;x
b_amago_5_adj;Amagian;;amager;;;;;;;;;;;x
b_amago_6;Amago;Amago;Amago;;Amago;;;;;;;;;x
b_amago_6_adj;Amagian;;amager;;;;;;;;;;;x
b_amaris;Amaris;Amaris;Amaris;;Amaris;;;;;;;;;x
b_amaris_adj;Amarisian;;amariser;;;;;;;;;;;x
b_amatra;Amatra;Amatra;Amatra;;Amatra;;;;;;;;;x
b_amatra_adj;Amatran;;amatrer;;;;;;;;;;;x
b_amatri;Amatri;Amatri;Amatri;;Amatri;;;;;;;;;x
b_amatri_adj;Amatrian;;amatrer;;;;;;;;;;;x
b_amatri_2;Amatri;Amatri;Amatri;;Amatri;;;;;;;;;x
b_amatri_2_adj;Amatrian;;amatrer;;;;;;;;;;;x
b_amatri_3;Amatri;Amatri;Amatri;;Amatri;;;;;;;;;x
b_amatri_3_adj;Amatrian;;amatrer;;;;;;;;;;;x
b_amatri_4;Amatri;Amatri;Amatri;;Amatri;;;;;;;;;x
b_amatri_4_adj;Amatrian;;amatrer;;;;;;;;;;;x
b_amatri_5;Amatri;Amatri;Amatri;;Amatri;;;;;;;;;x
b_amatri_5_adj;Amatrian;;amatrer;;;;;;;;;;;x
b_amburii;Amburii;Amburii;Amburii;;Amburii;;;;;;;;;x
b_amburii_adj;Amburian;;amburer;;;;;;;;;;;x
b_ampheuterna;Ampheuterna;Ampheuterna;Ampheuterna;;Ampheuterna;;;;;;;;;x
b_ampheuterna_adj;Ampheuternan;;ampheuterner;;;;;;;;;;;x
b_ampheuterna_2;Ampheuterna;Ampheuterna;Ampheuterna;;Ampheuterna;;;;;;;;;x
b_ampheuterna_2_adj;Ampheuternan;;ampheuterner;;;;;;;;;;;x
b_ampheuterna_3;Ampheuterna;Ampheuterna;Ampheuterna;;Ampheuterna;;;;;;;;;x
b_ampheuterna_3_adj;Ampheuternan;;ampheuterner;;;;;;;;;;;x
b_ancobia;Ancobia;Ancobia;Ancobia;;Ancobia;;;;;;;;;x
b_ancobia_adj;Ancobian;;ancober;;;;;;;;;;;x
b_andirma;Andirma;Andirma;Andirma;;Andirma;;;;;;;;;x
b_andirma_adj;Andirman;;andirmer;;;;;;;;;;;x
b_anesbes;Anesbes;Anesbes;Anesbes;;Anesbes;;;;;;;;;x
b_anesbes_adj;Anesbesian;;anesbeser;;;;;;;;;;;x
b_aninic;Aninic;Aninic;Aninic;;Aninic;;;;;;;;;x
b_aninic_adj;Aninician;;aninicer;;;;;;;;;;;x
b_ansis;Ansis;Ansis;Ansis;;Ansis;;;;;;;;;x
b_ansis_adj;Ansisian;;ansiser;;;;;;;;;;;x
b_aoric;Aoric;Aoric;Aoric;;Aoric;;;;;;;;;x
b_aoric_adj;Aorician;;aoricer;;;;;;;;;;;x
b_aphea;Aphea;Aphea;Aphea;;Aphea;;;;;;;;;x
b_aphea_adj;Aphean;;apher;;;;;;;;;;;x
b_aqdandira;Aqdandira;Aqdandira;Aqdandira;;Aqdandira;;;;;;;;;x
b_aqdandira_adj;Aqdandiran;;aqdandirer;;;;;;;;;;;x
b_aquoqf;Aquoqf;Aquoqf;Aquoqf;;Aquoqf;;;;;;;;;x
b_aquoqf_adj;Aquoqfian;;aquoqfer;;;;;;;;;;;x
b_aratia;Aratia;Aratia;Aratia;;Aratia;;;;;;;;;x
b_aratia_adj;Aratian;;arater;;;;;;;;;;;x
b_ardaris;Ardaris;Ardaris;Ardaris;;Ardaris;;;;;;;;;x
b_ardaris_adj;Ardarisian;;ardariser;;;;;;;;;;;x
b_ardzruni;Ardzruni;Ardzruni;Ardzruni;;Ardzruni;;;;;;;;;x
b_ardzruni_adj;Ardzrunian;;ardzruner;;;;;;;;;;;x
b_ardzruni_2;Ardzruni;Ardzruni;Ardzruni;;Ardzruni;;;;;;;;;x
b_ardzruni_2_adj;Ardzrunian;;ardzruner;;;;;;;;;;;x
b_areliani;Areliani;Areliani;Areliani;;Areliani;;;;;;;;;x
b_areliani_adj;Arelianian;;arelianer;;;;;;;;;;;x
b_areliani_2;Areliani;Areliani;Areliani;;Areliani;;;;;;;;;x
b_areliani_2_adj;Arelianian;;arelianer;;;;;;;;;;;x
b_areliani_3;Areliani;Areliani;Areliani;;Areliani;;;;;;;;;x
b_areliani_3_adj;Arelianian;;arelianer;;;;;;;;;;;x
b_areliani_4;Areliani;Areliani;Areliani;;Areliani;;;;;;;;;x
b_areliani_4_adj;Arelianian;;arelianer;;;;;;;;;;;x
b_areliani_5;Areliani;Areliani;Areliani;;Areliani;;;;;;;;;x
b_areliani_5_adj;Arelianian;;arelianer;;;;;;;;;;;x
b_areliani_6;Areliani;Areliani;Areliani;;Areliani;;;;;;;;;x
b_areliani_6_adj;Arelianian;;arelianer;;;;;;;;;;;x
b_arnegliscus;Arnegliscus;Arnegliscus;Arnegliscus;;Arnegliscus;;;;;;;;;x
b_arnegliscus_adj;Arnegliscusian;;arnegliscuser;;;;;;;;;;;x
b_arpaqui;Arpaqui;Arpaqui;Arpaqui;;Arpaqui;;;;;;;;;x
b_arpaqui_adj;Arpaqian;;arpaqer;;;;;;;;;;;x
b_arrinenze;Arrinenze;Arrinenze;Arrinenze;;Arrinenze;;;;;;;;;x
b_arrinenze_adj;Arrinenzean;;arrinenzer;;;;;;;;;;;x
b_arrinenze_2;Arrinenze;Arrinenze;Arrinenze;;Arrinenze;;;;;;;;;x
b_arrinenze_2_adj;Arrinenzean;;arrinenzer;;;;;;;;;;;x
b_arrinenze_3;Arrinenze;Arrinenze;Arrinenze;;Arrinenze;;;;;;;;;x
b_arrinenze_3_adj;Arrinenzean;;arrinenzer;;;;;;;;;;;x
b_arrinenze_4;Arrinenze;Arrinenze;Arrinenze;;Arrinenze;;;;;;;;;x
b_arrinenze_4_adj;Arrinenzean;;arrinenzer;;;;;;;;;;;x
b_arrinenze_5;Arrinenze;Arrinenze;Arrinenze;;Arrinenze;;;;;;;;;x
b_arrinenze_5_adj;Arrinenzean;;arrinenzer;;;;;;;;;;;x
b_arsultacz;Arsultacz;Arsultacz;Arsultacz;;Arsultacz;;;;;;;;;x
b_arsultacz_adj;Arsultaczian;;arsultaczer;;;;;;;;;;;x
b_aryyat;Aryyat;Aryyat;Aryyat;;Aryyat;;;;;;;;;x
b_aryyat_adj;Aryyatian;;aryyater;;;;;;;;;;;x
b_ascogna;Ascogna;Ascogna;Ascogna;;Ascogna;;;;;;;;;x
b_ascogna_adj;Ascognan;;ascogner;;;;;;;;;;;x
b_ascogna_2;Ascogna;Ascogna;Ascogna;;Ascogna;;;;;;;;;x
b_ascogna_2_adj;Ascognan;;ascogner;;;;;;;;;;;x
b_ascogna_3;Ascogna;Ascogna;Ascogna;;Ascogna;;;;;;;;;x
b_ascogna_3_adj;Ascognan;;ascogner;;;;;;;;;;;x
b_ascogna_4;Ascogna;Ascogna;Ascogna;;Ascogna;;;;;;;;;x
b_ascogna_4_adj;Ascognan;;ascogner;;;;;;;;;;;x
b_ascogna_5;Ascogna;Ascogna;Ascogna;;Ascogna;;;;;;;;;x
b_ascogna_5_adj;Ascognan;;ascogner;;;;;;;;;;;x
b_ashni;Ashni;Ashni;Ashni;;Ashni;;;;;;;;;x
b_ashni_adj;Ashnian;;ashner;;;;;;;;;;;x
b_ashni_2;Ashni;Ashni;Ashni;;Ashni;;;;;;;;;x
b_ashni_2_adj;Ashnian;;ashner;;;;;;;;;;;x
b_ashni_3;Ashni;Ashni;Ashni;;Ashni;;;;;;;;;x
b_ashni_3_adj;Ashnian;;ashner;;;;;;;;;;;x
b_ashni_4;Ashni;Ashni;Ashni;;Ashni;;;;;;;;;x
b_ashni_4_adj;Ashnian;;ashner;;;;;;;;;;;x
b_ashni_5;Ashni;Ashni;Ashni;;Ashni;;;;;;;;;x
b_ashni_5_adj;Ashnian;;ashner;;;;;;;;;;;x
b_askorven;Askorven;Askorven;Askorven;;Askorven;;;;;;;;;x
b_askorven_adj;Askorvenian;;askorvener;;;;;;;;;;;x
b_askorven_2;Askorven;Askorven;Askorven;;Askorven;;;;;;;;;x
b_askorven_2_adj;Askorvenian;;askorvener;;;;;;;;;;;x
b_askorven_3;Askorven;Askorven;Askorven;;Askorven;;;;;;;;;x
b_askorven_3_adj;Askorvenian;;askorvener;;;;;;;;;;;x
b_askorven_4;Askorven;Askorven;Askorven;;Askorven;;;;;;;;;x
b_askorven_4_adj;Askorvenian;;askorvener;;;;;;;;;;;x
b_at_hath;At Hath;At Hath;At Hath;;At Hath;;;;;;;;;x
b_at_hath_adj;At Hathian;;At Hather;;;;;;;;;;;x
b_at_tarnah;At Tarnah;At Tarnah;At Tarnah;;At Tarnah;;;;;;;;;x
b_at_tarnah_adj;At Tarnahian;;At Tarnaher;;;;;;;;;;;x
b_atara;Atara;Atara;Atara;;Atara;;;;;;;;;x
b_atara_adj;Ataran;;atarer;;;;;;;;;;;x
b_athagas;Athagas;Athagas;Athagas;;Athagas;;;;;;;;;x
b_athagas_adj;Athagasian;;athagaser;;;;;;;;;;;x
b_athalar;Athalar;Athalar;Athalar;;Athalar;;;;;;;;;x
b_athalar_adj;Athalarian;;athalarer;;;;;;;;;;;x
b_augusta;Augusta;Augusta;Augusta;;Augusta;;;;;;;;;x
b_augusta_adj;Augustan;;auguster;;;;;;;;;;;x
b_augusta_2;Augusta;Augusta;Augusta;;Augusta;;;;;;;;;x
b_augusta_2_adj;Augustan;;auguster;;;;;;;;;;;x
b_augusta_3;Augusta;Augusta;Augusta;;Augusta;;;;;;;;;x
b_augusta_3_adj;Augustan;;auguster;;;;;;;;;;;x
b_augusta_4;Augusta;Augusta;Augusta;;Augusta;;;;;;;;;x
b_augusta_4_adj;Augustan;;auguster;;;;;;;;;;;x
b_augusta_5;Augusta;Augusta;Augusta;;Augusta;;;;;;;;;x
b_augusta_5_adj;Augustan;;auguster;;;;;;;;;;;x
b_avedis;Avedis;Avedis;Avedis;;Avedis;;;;;;;;;x
b_avedis_adj;Avedisian;;avediser;;;;;;;;;;;x
b_aveigre;Aveigre;Aveigre;Aveigre;;Aveigre;;;;;;;;;x
b_aveigre_adj;Aveigrean;;aveigrer;;;;;;;;;;;x
b_aveigre_2;Aveigre;Aveigre;Aveigre;;Aveigre;;;;;;;;;x
b_aveigre_2_adj;Aveigrean;;aveigrer;;;;;;;;;;;x
b_aveigre_3;Aveigre;Aveigre;Aveigre;;Aveigre;;;;;;;;;x
b_aveigre_3_adj;Aveigrean;;aveigrer;;;;;;;;;;;x
b_aveigre_4;Aveigre;Aveigre;Aveigre;;Aveigre;;;;;;;;;x
b_aveigre_4_adj;Aveigrean;;aveigrer;;;;;;;;;;;x
b_aveirta;Aveirta;Aveirta;Aveirta;;Aveirta;;;;;;;;;x
b_aveirta_adj;Aveirtan;;aveirter;;;;;;;;;;;x
b_aveirta_2;Aveirta;Aveirta;Aveirta;;Aveirta;;;;;;;;;x
b_aveirta_2_adj;Aveirtan;;aveirter;;;;;;;;;;;x
b_aveirta_3;Aveirta;Aveirta;Aveirta;;Aveirta;;;;;;;;;x
b_aveirta_3_adj;Aveirtan;;aveirter;;;;;;;;;;;x
b_aveirta_4;Aveirta;Aveirta;Aveirta;;Aveirta;;;;;;;;;x
b_aveirta_4_adj;Aveirtan;;aveirter;;;;;;;;;;;x
b_aveirta_5;Aveirta;Aveirta;Aveirta;;Aveirta;;;;;;;;;x
b_aveirta_5_adj;Aveirtan;;aveirter;;;;;;;;;;;x
b_aveirta_6;Aveirta;Aveirta;Aveirta;;Aveirta;;;;;;;;;x
b_aveirta_6_adj;Aveirtan;;aveirter;;;;;;;;;;;x
b_aveirta_7;Aveirta;Aveirta;Aveirta;;Aveirta;;;;;;;;;x
b_aveirta_7_adj;Aveirtan;;aveirter;;;;;;;;;;;x
b_aveisa;Aveisa;Aveisa;Aveisa;;Aveisa;;;;;;;;;x
b_aveisa_adj;Aveisan;;aveiser;;;;;;;;;;;x
b_aveisa_2;Aveisa;Aveisa;Aveisa;;Aveisa;;;;;;;;;x
b_aveisa_2_adj;Aveisan;;aveiser;;;;;;;;;;;x
b_aveisa_3;Aveisa;Aveisa;Aveisa;;Aveisa;;;;;;;;;x
b_aveisa_3_adj;Aveisan;;aveiser;;;;;;;;;;;x
b_aveisa_4;Aveisa;Aveisa;Aveisa;;Aveisa;;;;;;;;;x
b_aveisa_4_adj;Aveisan;;aveiser;;;;;;;;;;;x
b_aveisa_5;Aveisa;Aveisa;Aveisa;;Aveisa;;;;;;;;;x
b_aveisa_5_adj;Aveisan;;aveiser;;;;;;;;;;;x
b_aviet;Aviet;Aviet;Aviet;;Aviet;;;;;;;;;x
b_aviet_adj;Avietian;;avieter;;;;;;;;;;;x
b_avirias;Avirias;Avirias;Avirias;;Avirias;;;;;;;;;x
b_avirias_adj;Aviriasian;;aviriaser;;;;;;;;;;;x
b_avitivi;Avitivi;Avitivi;Avitivi;;Avitivi;;;;;;;;;x
b_avitivi_adj;Avitivian;;avitiver;;;;;;;;;;;x
b_avitivi_2;Avitivi;Avitivi;Avitivi;;Avitivi;;;;;;;;;x
b_avitivi_2_adj;Avitivian;;avitiver;;;;;;;;;;;x
b_avitivi_3;Avitivi;Avitivi;Avitivi;;Avitivi;;;;;;;;;x
b_avitivi_3_adj;Avitivian;;avitiver;;;;;;;;;;;x
b_avitivi_4;Avitivi;Avitivi;Avitivi;;Avitivi;;;;;;;;;x
b_avitivi_4_adj;Avitivian;;avitiver;;;;;;;;;;;x
b_avitivi_5;Avitivi;Avitivi;Avitivi;;Avitivi;;;;;;;;;x
b_avitivi_5_adj;Avitivian;;avitiver;;;;;;;;;;;x
b_avitivi_6;Avitivi;Avitivi;Avitivi;;Avitivi;;;;;;;;;x
b_avitivi_6_adj;Avitivian;;avitiver;;;;;;;;;;;x
b_avrentii;Avrentii;Avrentii;Avrentii;;Avrentii;;;;;;;;;x
b_avrentii_adj;Avrentian;;avrenter;;;;;;;;;;;x
b_azilencii;Azilencii;Azilencii;Azilencii;;Azilencii;;;;;;;;;x
b_azilencii_adj;Azilencian;;azilencer;;;;;;;;;;;x
b_bababelat;Bababelat;Bababelat;Bababelat;;Bababelat;;;;;;;;;x
b_bababelat_adj;Bababelatian;;bababelater;;;;;;;;;;;x
b_bababelat_2;Bababelat;Bababelat;Bababelat;;Bababelat;;;;;;;;;x
b_bababelat_2_adj;Bababelatian;;bababelater;;;;;;;;;;;x
b_bababelat_3;Bababelat;Bababelat;Bababelat;;Bababelat;;;;;;;;;x
b_bababelat_3_adj;Bababelatian;;bababelater;;;;;;;;;;;x
b_badekli;Badekli;Badekli;Badekli;;Badekli;;;;;;;;;x
b_badekli_adj;Badeklian;;badekler;;;;;;;;;;;x
b_bagratun;Bagratun;Bagratun;Bagratun;;Bagratun;;;;;;;;;x
b_bagratun_adj;Bagratunian;;bagratuner;;;;;;;;;;;x
b_balik;Balik;Balik;Balik;;Balik;;;;;;;;;x
b_balik_adj;Balikian;;baliker;;;;;;;;;;;x
b_baquji;Baquji;Baquji;Baquji;;Baquji;;;;;;;;;x
b_baquji_adj;Baqujian;;baqujer;;;;;;;;;;;x
b_baquush;Baquush;Baquush;Baquush;;Baquush;;;;;;;;;x
b_baquush_adj;Baquushian;;baquusher;;;;;;;;;;;x
b_barata;Barata;Barata;Barata;;Barata;;;;;;;;;x
b_barata_adj;Baratan;;barater;;;;;;;;;;;x
b_barata_2;Barata;Barata;Barata;;Barata;;;;;;;;;x
b_barata_2_adj;Baratan;;barater;;;;;;;;;;;x
b_barata_3;Barata;Barata;Barata;;Barata;;;;;;;;;x
b_barata_3_adj;Baratan;;barater;;;;;;;;;;;x
b_barata_4;Barata;Barata;Barata;;Barata;;;;;;;;;x
